"id","code","name","parent_id/id","uom_id/id","standard_price","piece_rate_price","type","wage_method","qty_base","qty_base_max","qty_base_min","activity_type","comment"
"estate.activity_64","10057","Wiping ","estate.activity_56","estate.product_uom_hectare",25000,,"normal","standard",3,3,3,"estate","1 HK dapat mengcover 3 Ha"
"estate.activity_65","10058","Bajak","estate.activity_56","estate.product_uom_hectare",25000,,"normal","standard",3,3,3,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 3Ha/hari"
"estate.activity_66","10059","Garu","estate.activity_56","estate.product_uom_hectare",15000,,"normal","standard",5,5,5,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 5Ha/hari"
"estate.activity_67","10060","Compacting ","estate.activity_56","estate.product_uom_hectare",15000,,"normal","standard",5,5,5,"estate","1 HK dapat mengawasi 1 alat, dimana output alat = 5 Ha/hari"
"estate.activity_68","10061","Pembuatan Infrastuktur Jalan dan Jembatan ","estate.activity_55",,,,"view",,,,,"estate",
"estate.activity_69","10062","Pembuatan Access Road ","estate.activity_68","product.product_uom_meter",600,,"normal","standard",125,125,120,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 12,5 mtr/HM = 125 mtr/Hari"
"estate.activity_70","10063","Pembuatan Main Road ","estate.activity_68","product.product_uom_meter",250,,"normal","standard",300,300,250,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 30 mtr/HM = 300 mtr/Hari"
"estate.activity_71","10064","Pembuatan Collection Road ","estate.activity_68","product.product_uom_meter",150,,"normal","standard",500,500,450,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 50 mtr/HM = 500 mtr/Hari"
"estate.activity_72","10065","Pembuatan Contour Road ","estate.activity_68","product.product_uom_meter",125,,"normal","standard",600,600,600,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 60 mtr/HM = 600 mtr/Hari"
"estate.activity_73","10066","Penimbunan Access Road","estate.activity_68","product.product_uom_meter",150,,"normal","standard",500,500,500,"estate","1 HK dapat mengcover 500 meter"
"estate.activity_74","10067","Penimbunan Main Road","estate.activity_68","product.product_uom_meter",150,,"normal","standard",500,500,500,"estate","1 HK dapat mengcover 500 meter"
"estate.activity_75","10068","Penimbunan Collection Road","estate.activity_68","product.product_uom_meter",150,,"normal","standard",500,500,500,"estate","1 HK dapat mengcover 500 meter"
"estate.activity_76","10069","Pembuatan Gambangan ","estate.activity_68","product.product_uom_meter",1071.428571,,"normal","standard",70,70,70,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 70 mtr/hari"
"estate.activity_77","10070","Pembuatan Jembatan Kayu ","estate.activity_68","product.product_uom_unit",37500,,"normal","standard",2,2,2,"estate","1 HK dapat mengcover 2 unit jembatan"
"estate.activity_78","10071","Pembuatan Jembatan Beton ","estate.activity_68","product.product_uom_unit",75000,,"normal","standard",1,1,1,"estate","1 HK dapat mengcover 1 unit jembatan"
"estate.activity_79","10072","Pembuatan Gorong-Gorong ","estate.activity_68","product.product_uom_unit",18750,,"normal","standard",4,4,4,"estate","1 HK dapat mengcover 4 unit jembatan"
"estate.activity_80","10073","Pembuatan Parit, Teresan, Tpk Kuda dan Planting Pocket ","estate.activity_55",,,,"view",,,,,"estate",
"estate.activity_81","10074","Pembuatan Parit Main ","estate.activity_80","product.product_uom_meter",375,,"normal","standard",200,200,200,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 200 mtr/hari"
"estate.activity_82","10075","Pembuatan Parit Collection ","estate.activity_80","product.product_uom_meter",250,,"normal","standard",300,300,300,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 300 mtr/hari"
"estate.activity_83","10076","Pembuatan Parit Field ","estate.activity_80","product.product_uom_meter",187.5,,"normal","standard",400,400,400,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 400 mtr/hari"
"estate.activity_84","10077","Pecucian Parit Alam","estate.activity_80","product.product_uom_meter",375,,"normal","standard",200,200,200,"estate","1 HK dapat mengcover 1 alat, dimana output alat = 200 mtr/hari"
